index_id,battery,camera,display,memory,name_a,price,processor,rating,reviews,warranty
796,4045 mAh Battery,16MP + 5MP | 25MP Front Camera,16.0 cm (6.3 inch) Full HD+ Display,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,"Realme 3 Pro (Nitro Blue, 64 GB)",13999,Qualcomm Snapdragon 710 Octa Core 2.2 GHz AIE Processor,4.5,"40,406 Reviews",Dual Nano SIM Slot and Memory Card Slot
797,2800 mAh Battery,5MP Rear Camera | 5MP Front Camera,15.21 cm (5.99 inch) Full HD Display,2 GB RAM | 16 GB ROM | Expandable Upto 64 GB,"Ringme ME 10 Pro (Black, 16 GB)",5499,Quad Core Processor,4.3,0 Reviews,3 Month
798,2800 mAh Battery,5MP Rear Camera | 5MP Front Camera,15.21 cm (5.99 inch) Full HD Display,2 GB RAM | 16 GB ROM | Expandable Upto 64 GB,"Ringme ME 10 Pro (Blue, 16 GB)",5498,Quad Core Processor,4.3,0 Reviews,3 Month
799,5050 mAh Battery,8MP Rear Camera,13.97 cm (5.5 inch) Display,1 GB RAM | 16 GB ROM,"ITEL IT1553 (SPACE GRAY, 16 GB)",3530,6 MONTHS,3.1,2 Reviews,
800,3100 mAh Lithium-ion Battery,16MP + 12MP | 10MP Front Camera,14.73 cm (5.8 inch) Full HD+ Display,6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,"Samsung Galaxy S10e (Prism Black, 128 GB)",59000,Exynos 9 9820 Processor,4.5,95 Reviews,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
801,4000 mAh Li-ion Polymer Battery,13MP Rear Camera | 8MP Front Camera,13.21 cm (5.2 inch) HD Display,3 GB RAM | 16 GB ROM | Expandable Upto 128 GB,"Panasonic Eluga A3 (Grey, 16 GB)",4990,MediaTek MTK6737 Quad Core 1.25 GHz Processor,3.8,"1,634 Reviews",Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
802,4000 mAh Battery,13MP + 2MP | 8MP Front Camera,15.9 cm (6.26 inch) HD+ Display,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,"Asus ZenFone Max M2 (Blue, 64 GB)",8999,Qualcomm Snapdragon 632 Octa Core Processor,4.3,"2,577 Reviews",Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
803,2100 mAh Battery,8MP Rear Camera | 1.3MP Front Camera,11.94 cm (4.7 inch) HD Display,1 GB RAM | 8 GB ROM,"LG Spirit 4G LTE (Black Titan, 8 GB)",5499,1 Year Manufacturer Warranty,3.7,77 Reviews,
804,4900 mAh Li-Polymer Battery,13MP Rear Camera | 5MP Front Camera,13.97 cm (5.5 inch) Full HD Display,2 GB RAM | 32 GB ROM | Expandable Upto 128 GB,"Lenovo VIBE P1 (Grey, 32 GB)",15999,Qualcomm Snapdragon 615 64-bit Processor,4.1,"3,277 Reviews",Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
805,5000 mAh Lithium-ion Battery,108 MP + 48 MP + 12 MP + VGA Depth Camera | 40MP Front Camera,17.53 cm (6.9 inch) Quad HD+ Display,12 GB RAM | 128 GB ROM | Expandable Upto 1 TB,"Samsung Galaxy S20 Ultra (Cosmic Black, 128 GB)",97999,Exynos 990 Processor,4.3,16 Reviews,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
806,4000 mAh Battery,8MP Rear Camera | 2MP Front Camera,12.7 cm (5 inch) HD Display,2 GB RAM | 16 GB ROM | Expandable Upto 32 GB,"Moto C Plus (Fine Gold, 16 GB)",6999,Mediatek MTK6737 Quad Core 1.3Ghz Processor,4.1,"54,684 Reviews",Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
807,2350 mAh Li-Ion Battery,5MP Rear Camera | 5MP Front Camera,12.7 cm (5 inch) FWVGA Display,1 GB RAM | 8 GB ROM,"XOLO ERA 2-4G with VoLTE (Pyramid Gold, 8 GB)",3999,0 32-bit Quad Core 1.3GHz Processor,3.9,"1,929 Reviews",Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
808,2350 mAh Li-Ion Battery,5MP Rear Camera | 5MP Front Camera,12.7 cm (5 inch) FWVGA Display,1 GB RAM | 8 GB ROM,"XOLO ERA 2-4G with VoLTE (Black, 8 GB)",4099,0 32-bit Quad Core 1.3GHz Processor,3.9,"1,929 Reviews",Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
809,2350 mAh Li-Ion Battery,5MP Rear Camera | 5MP Front Camera,12.7 cm (5 inch) FWVGA Display,1 GB RAM | 8 GB ROM,"XOLO ERA 2-4G with VoLTE (Nile Blue, 8 GB)",4099,32-bit Processor,3.9,"1,929 Reviews",Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
810,3500 mAh Battery,13MP + 8MP | 16MP Front Camera,15.75 cm (6.2 inch) HD+ Display,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,"Tecno Camon i4 (Aqua Blue, 64 GB)",11500,"Tecno 111 Promise: One Time Screen Replacement. 100 days Replacement, (12+1) year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase.",4.3,16 Reviews,
811,3080 mAh Li Polymer Battery,12MP + 5MP | 16MP Front Camera,15.21 cm (5.99 inch) HD+ Display,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,"Redmi Y2 (Rose Gold, 64 GB)",8499,Qualcomm Snapdragon 625 Processor,4.4,"1,867 Reviews",Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
812,4120 mAh Li-polymer Battery,8MP Rear Camera | 5MP Front Camera,15.49 cm (6.1 inch) Display,1 GB RAM | 16 GB ROM | Expandable Upto 256 GB,"Lava Z53 (Prism Blue, 16 GB)",5499,UniSoC SC9832E Processor,3.9,7 Reviews,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
813,2400 mAh Battery,8MP Rear Camera | 5MP Front Camera,13.84 cm (5.45 inch) Display,2 GB RAM | 16 GB ROM,"Itel A44 Pro (Champagne, 16 GB)",5090,1 year manufacturer warranty,4.3,12 Reviews,
814,3300 mAh Li-ion Battery,13MP Rear Camera | 8MP Front Camera,13.97 cm (5.5 inch) Full HD Display,3 GB RAM | 16 GB ROM | Expandable Upto 256 GB,"Samsung Galaxy On Nxt (Gold, 16 GB)",11200,Exynos 7870 Octa Core 1.6 GHz Processor,4.3,"55,351 Reviews",Brand Warranty of 1 Year
